player-super-tackles_player_name,player-raid-points_player_name,player-super-raids_player_name,high-5s_player_name,player-tackle-points_player_name,player-avg-tackle-points_player_name,player-dod-raid-points_player_name,player-total-points_player_name,player-successful-tackles_player_name,player-successful-raids_player_name,super-10s_player_name,player-super-tackles_match_played,player-raid-points_match_played,player-super-raids_match_played,high-5s_match_played,player-tackle-points_match_played,player-avg-tackle-points_match_played,player-dod-raid-points_match_played,player-total-points_match_played,player-successful-tackles_match_played,player-successful-raids_match_played,super-10s_match_played,player-super-tackles_position_name,player-raid-points_position_name,player-super-raids_position_name,high-5s_position_name,player-tackle-points_position_name,player-avg-tackle-points_position_name,player-dod-raid-points_position_name,player-total-points_position_name,player-successful-tackles_position_name,player-successful-raids_position_name,super-10s_position_name,player-super-tackles_team,player-raid-points_team,player-super-raids_team,high-5s_team,player-tackle-points_team,player-avg-tackle-points_team,player-dod-raid-points_team,player-total-points_team,player-successful-tackles_team,player-successful-raids_team,super-10s_team,player-super-tackles_team_name,player-raid-points_team_name,player-super-raids_team_name,high-5s_team_name,player-tackle-points_team_name,player-avg-tackle-points_team_name,player-dod-raid-points_team_name,player-total-points_team_name,player-successful-tackles_team_name,player-successful-raids_team_name,super-10s_team_name,player-super-tackles_team_full_name,player-raid-points_team_full_name,player-super-raids_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-avg-tackle-points_team_full_name,player-dod-raid-points_team_full_name,player-total-points_team_full_name,player-successful-tackles_team_full_name,player-successful-raids_team_full_name,super-10s_team_full_name,player-super-tackles_rank,player-raid-points_rank,player-super-raids_rank,high-5s_rank,player-tackle-points_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-total-points_rank,player-successful-tackles_rank,player-successful-raids_rank,super-10s_rank,player-super-tackles_value,player-raid-points_value,player-super-raids_value,high-5s_value,player-tackle-points_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-total-points_value,player-successful-tackles_value,player-successful-raids_value,super-10s_value,player-super-tackles_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-total-points_points_per_match,player-successful-tackles_points_per_match,player-successful-raids_points_per_match,super-10s_points_per_match,player-super-tackles_team_id,player-raid-points_team_id,player-super-raids_team_id,high-5s_team_id,player-tackle-points_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-total-points_team_id,player-successful-tackles_team_id,player-successful-raids_team_id,super-10s_team_id,player-super-tackles_position_id,player-raid-points_position_id,player-super-raids_position_id,high-5s_position_id,player-tackle-points_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-total-points_position_id,player-successful-tackles_position_id,player-successful-raids_position_id,super-10s_position_id
,,,,Rajaguru Subramanian,Rajaguru Subramanian,,Rajaguru Subramanian,Rajaguru Subramanian,,,,,,,7.0,7.0,,7,7.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,DEL,DEL,,DEL,DEL,,,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,,,,47.0,52.0,,86,46.0,,,,,,,6.0,0.86,,6,6.0,,,,,,,0.8571428571428571,0.1228571428571428,,0.8571428571428571,0.8571428571428571,,,,,,,2.0,2.0,,2,2.0,,,,,,,9.0,9.0,,9,9.0,,
,Rajesh Mondal,Rajesh Mondal,,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,,,9.0,9.0,,9.0,9.0,9.0,9,9.0,9.0,,,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,PAT,PAT,,PAT,PAT,PAT,PAT,PAT,PAT,,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,,27.0,8.0,,90.0,95.0,10.0,44,80.0,28.0,,,27.0,2.0,,1.0,0.11,16.0,28,1.0,18.0,,,3.0,0.2222222222222222,,0.1111111111111111,0.0122222222222222,1.7777777777777777,3.111111111111111,0.1111111111111111,2.0,,,6.0,6.0,,6.0,6.0,6.0,6,6.0,6.0,,,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,
Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14,14.0,14.0,14.0,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,10.0,12.0,9.0,13.0,18.0,26.0,11.0,8,20.0,13.0,17.0,3.0,59.0,2.0,1.0,21.0,1.5,14.0,80,18.0,47.0,1.0,0.2142857142857142,4.214285714285714,0.1428571428571428,0.0714285714285714,1.5,0.1071428571428571,1.0,5.714285714285714,1.2857142857142858,3.357142857142857,0.0714285714285714,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
,,,,Raju Lal Choudhary,Raju Lal Choudhary,,Raju Lal Choudhary,Raju Lal Choudhary,,,,,,,1.0,1.0,,1,1.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,JAI,JAI,,JAI,JAI,,,,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,,,,91.0,39.0,,114,81.0,,,,,,,1.0,1.0,,1,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,3.0,3.0,,3,3.0,,,,,,,9.0,9.0,,9,9.0,,
Rakesh Kumar,Rakesh Kumar,,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,,15.0,15.0,,15.0,15.0,15.0,15.0,15,15.0,15.0,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,MUM,MUM,,MUM,MUM,MUM,MUM,MUM,MUM,MUM,,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,17.0,22.0,,14.0,21.0,38.0,30.0,19,22.0,20.0,,2.0,33.0,,1.0,18.0,1.2,6.0,51,16.0,29.0,,0.1333333333333333,2.2,,0.0666666666666666,1.2,0.08,0.4,3.4,1.0666666666666669,1.9333333333333331,,5.0,5.0,,5.0,5.0,5.0,5.0,5,5.0,5.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,
Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,16.0,16.0,16.0,,16.0,16.0,16.0,16,16.0,16.0,16.0,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,MUM,MUM,MUM,,MUM,MUM,MUM,MUM,MUM,MUM,MUM,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,29.0,2.0,2.0,,39.0,65.0,2.0,2,42.0,1.0,5.0,1.0,106.0,4.0,,9.0,0.56,27.0,115,8.0,86.0,2.0,0.0625,6.625,0.25,,0.5625,0.035,1.6875,7.1875,0.5,5.375,0.125,5.0,5.0,5.0,,5.0,5.0,5.0,5,5.0,5.0,5.0,8.0,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0
Rohit Rana,Rohit Rana,,Rohit Rana,Rohit Rana,Rohit Rana,,Rohit Rana,Rohit Rana,,,12.0,12.0,,12.0,12.0,12.0,,12,12.0,,,Defender,Defender,,Defender,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,JAI,JAI,,JAI,JAI,JAI,,JAI,JAI,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,9.0,84.0,,15.0,25.0,31.0,,54,26.0,,,3.0,1.0,,1.0,17.0,1.42,,18,14.0,,,0.25,0.0833333333333333,,0.0833333333333333,1.4166666666666667,0.1183333333333333,,1.5,1.1666666666666667,,,3.0,3.0,,3.0,3.0,3.0,,3,3.0,,,9.0,9.0,,9.0,9.0,9.0,,9,9.0,,
,Shabeer Bappu,,,,,Shabeer Bappu,Shabeer Bappu,,Shabeer Bappu,,,10.0,,,,,10.0,10,,10.0,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,MUM,,,,,MUM,MUM,,MUM,,,U Mumba,,,,,U Mumba,U Mumba,,U Mumba,,,39.0,,,,,38.0,68,,37.0,,,13.0,,,,,4.0,13,,11.0,,,1.3,,,,,0.4,1.3,,1.1,,,5.0,,,,,5.0,5,,5.0,,,8.0,,,,,8.0,8,,8.0,
,Shrikant Jadhav,,,,,Shrikant Jadhav,Shrikant Jadhav,,Shrikant Jadhav,,,5.0,,,,,5.0,5,,5.0,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,KOL,,,,,KOL,KOL,,KOL,,,Bengal Warriors,,,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,,42.0,,,,,45.0,76,,38.0,,,10.0,,,,,2.0,10,,9.0,,,2.0,,,,,0.4,2.0,,1.8,,,4.0,,,,,4.0,4,,4.0,,,8.0,,,,,8.0,8,,8.0,
Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,,13.0,13.0,13.0,13.0,13.0,13.0,,13,13.0,13.0,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,BLR,BLR,BLR,BLR,BLR,BLR,,BLR,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,30.0,32.0,25.0,16.0,31.0,40.0,,36,29.0,30.0,,1.0,20.0,1.0,1.0,13.0,1.0,,33,12.0,16.0,,0.0769230769230769,1.5384615384615383,0.0769230769230769,0.0769230769230769,1.0,0.0769230769230769,,2.5384615384615383,0.9230769230769232,1.2307692307692308,,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,
Shyam Kumar Sah,Shyam Kumar Sah,Shyam Kumar Sah,,Shyam Kumar Sah,Shyam Kumar Sah,,Shyam Kumar Sah,Shyam Kumar Sah,Shyam Kumar Sah,,7.0,7.0,7.0,,7.0,7.0,,7,7.0,7.0,,Defender,Defender,Defender,,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,KOL,KOL,KOL,,KOL,KOL,,KOL,KOL,KOL,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,31.0,50.0,26.0,,53.0,59.0,,72,58.0,54.0,,1.0,7.0,1.0,,5.0,0.71,,12,4.0,4.0,,0.1428571428571428,1.0,0.1428571428571428,,0.7142857142857143,0.1014285714285714,,1.7142857142857142,0.5714285714285714,0.5714285714285714,,4.0,4.0,4.0,,4.0,4.0,,4,4.0,4.0,,9.0,9.0,9.0,,9.0,9.0,,9,9.0,9.0,
Sukesh Hegde,Sukesh Hegde,,,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,,13.0,13.0,,,13.0,13.0,13.0,13,13.0,13.0,,Raider,Raider,,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,HYD,HYD,,,HYD,HYD,HYD,HYD,HYD,HYD,,Telugu Titans,Telugu Titans,,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,32.0,11.0,,,67.0,90.0,14.0,13,78.0,11.0,,1.0,61.0,,,3.0,0.23,12.0,64,2.0,49.0,,0.0769230769230769,4.6923076923076925,,,0.2307692307692307,0.0176923076923076,0.9230769230769232,4.923076923076923,0.1538461538461538,3.769230769230769,,8.0,8.0,,,8.0,8.0,8.0,8,8.0,8.0,,8.0,8.0,,,8.0,8.0,8.0,8,8.0,8.0,
,Surjeet Narwal,Surjeet Narwal,,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,,12.0,12.0,,12.0,12.0,12.0,12,12.0,12.0,12.0,,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,BLR,BLR,,BLR,BLR,BLR,BLR,BLR,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,19.0,14.0,,68.0,84.0,46.0,25,65.0,21.0,16.0,,40.0,2.0,,3.0,0.25,2.0,43,3.0,29.0,1.0,,3.3333333333333335,0.1666666666666666,,0.25,0.0208333333333333,0.1666666666666666,3.5833333333333335,0.25,2.4166666666666665,0.0833333333333333,,1.0,1.0,,1.0,1.0,1.0,1,1.0,1.0,1.0,,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0
,Surjeet Singh,,,,,Surjeet Singh,Surjeet Singh,,Surjeet Singh,Surjeet Singh,,12.0,,,,,12.0,12,,12.0,12.0,,Raider,,,,,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,DEL,,,,,DEL,DEL,,DEL,DEL,,Dabang Delhi K.C.,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,10.0,,,,,29.0,12,,10.0,1.0,,68.0,,,,,6.0,68,,54.0,5.0,,5.666666666666667,,,,,0.5,5.666666666666667,,4.5,0.4166666666666667,,2.0,,,,,2.0,2,,2.0,2.0,,8.0,,,,,8.0,8,,8.0,8.0
,,,,Vishal Mane,Vishal Mane,,Vishal Mane,Vishal Mane,,,,,,,13.0,13.0,,13,13.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,MUM,MUM,,MUM,MUM,,,,,,,U Mumba,U Mumba,,U Mumba,U Mumba,,,,,,,27.0,36.0,,62,25.0,,,,,,,16.0,1.23,,16,16.0,,,,,,,1.2307692307692308,0.0946153846153846,,1.2307692307692308,1.2307692307692308,,,,,,,5.0,5.0,,5,5.0,,,,,,,9.0,9.0,,9,9.0,,
,Sunil Jaipal,,,,,,Sunil Jaipal,,Sunil Jaipal,,,2.0,,,,,,2,,2.0,,,Raider,,,,,,Raider,,Raider,,,,,,,,,,,,,,PAT,,,,,,PAT,,PAT,,,Patna Pirates,,,,,,Patna Pirates,,Patna Pirates,,,60.0,,,,,,93,,53.0,,,4.0,,,,,,4,,4.0,,,2.0,,,,,,2.0,,2.0,,,6.0,,,,,,6,,6.0,,,8.0,,,,,,8,,8.0,
Sandeep Narwal,Sandeep Narwal,,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,,14.0,14.0,,14.0,14.0,14.0,,14,14.0,14.0,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,PAT,PAT,,PAT,PAT,PAT,,PAT,PAT,PAT,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,,19.0,44.0,,2.0,2.0,3.0,,14,2.0,42.0,,2.0,9.0,,6.0,55.0,3.93,,64,53.0,8.0,,0.1428571428571428,0.6428571428571429,,0.4285714285714285,3.928571428571429,0.2807142857142857,,4.571428571428571,3.7857142857142856,0.5714285714285714,,6.0,6.0,,6.0,6.0,6.0,,6,6.0,6.0,,0.0,0.0,,0.0,0.0,0.0,,0,0.0,0.0,
,Surender Nada,,,Surender Nada,Surender Nada,,Surender Nada,Surender Nada,,,,7.0,,,7.0,7.0,,7,7.0,,,,Defender,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,MUM,,,MUM,MUM,,MUM,MUM,,,,U Mumba,,,U Mumba,U Mumba,,U Mumba,U Mumba,,,,83.0,,,32.0,20.0,,63,27.0,,,,1.0,,,13.0,1.86,,14,13.0,,,,0.1428571428571428,,,1.8571428571428572,0.2657142857142857,,2.0,1.8571428571428572,,,,5.0,,,5.0,5.0,,5,5.0,,,,9.0,,,9.0,9.0,,9,9.0,,
,,,,Prashant Chavan,Prashant Chavan,,Prashant Chavan,Prashant Chavan,,,,,,,6.0,6.0,,6,6.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,PUN,PUN,,PUN,PUN,,,,,,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,,,,,,69.0,67.0,,96,59.0,,,,,,,3.0,0.5,,3,3.0,,,,,,,0.5,0.0833333333333333,,0.5,0.5,,,,,,,7.0,7.0,,7,7.0,,,,,,,9.0,9.0,,9,9.0,,
,,,,Parmod Narwal,Parmod Narwal,,Parmod Narwal,Parmod Narwal,,,,,,,4.0,4.0,,4,4.0,,,,,,,All Rounder,All Rounder,,All Rounder,All Rounder,,,,,,,,,,,,,,,,,,BLR,BLR,,BLR,BLR,,,,,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,,,,,,75.0,68.0,,106,77.0,,,,,,,2.0,0.5,,2,2.0,,,,,,,0.5,0.125,,0.5,0.5,,,,,,,1.0,1.0,,1,1.0,,,,,,,0.0,0.0,,0,0.0,,
,,,,D. Gopu,D. Gopu,,D. Gopu,D. Gopu,,,,,,,2.0,2.0,,2,2.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,HYD,HYD,,HYD,HYD,,,,,,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,,,,,,89.0,69.0,,111,79.0,,,,,,,1.0,0.5,,1,1.0,,,,,,,0.5,0.25,,0.5,0.5,,,,,,,8.0,8.0,,8,8.0,,,,,,,9.0,9.0,,9,9.0,,
,Prashanth Kumar Rai,,,,,Prashanth Kumar Rai,Prashanth Kumar Rai,,Prashanth Kumar Rai,,,13.0,,,,,13.0,13,,13.0,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,HYD,,,,,HYD,HYD,,HYD,,,Telugu Titans,,,,,Telugu Titans,Telugu Titans,,Telugu Titans,,,40.0,,,,,56.0,71,,43.0,,,12.0,,,,,1.0,12,,8.0,,,0.9230769230769232,,,,,0.0769230769230769,0.9230769230769232,,0.6153846153846154,,,8.0,,,,,8.0,8,,8.0,,,8.0,,,,,8.0,8,,8.0,
,Pawan Kumar Kadian,,,,,Pawan Kumar Kadian,Pawan Kumar Kadian,,Pawan Kumar Kadian,,,5.0,,,,,5.0,5,,5.0,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,MUM,,,,,MUM,MUM,,MUM,,,U Mumba,,,,,U Mumba,U Mumba,,U Mumba,,,52.0,,,,,37.0,85,,51.0,,,6.0,,,,,5.0,6,,4.0,,,1.2,,,,,1.0,1.2,,0.8,,,5.0,,,,,5.0,5,,5.0,,,8.0,,,,,8.0,8,,8.0,
Ravinder Pahal,Ravinder Pahal,,Ravinder Pahal,Ravinder Pahal,Ravinder Pahal,,Ravinder Pahal,Ravinder Pahal,Ravinder Pahal,,11.0,11.0,,11.0,11.0,11.0,,11,11.0,11.0,,Defender,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,DEL,DEL,,DEL,DEL,DEL,,DEL,DEL,DEL,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,5.0,45.0,,7.0,15.0,12.0,,35,15.0,52.0,,4.0,8.0,,2.0,26.0,2.36,,34,22.0,4.0,,0.3636363636363636,0.7272727272727273,,0.1818181818181818,2.363636363636364,0.2145454545454545,,3.090909090909091,2.0,0.3636363636363636,,2.0,2.0,,2.0,2.0,2.0,,2,2.0,2.0,,9.0,9.0,,9.0,9.0,9.0,,9,9.0,9.0,
,,,,Rakesh Singh Kumar,Rakesh Singh Kumar,,Rakesh Singh Kumar,Rakesh Singh Kumar,,,,,,,8.0,8.0,,8,8.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,DEL,DEL,,DEL,DEL,,,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,,,,62.0,76.0,,95,66.0,,,,,,,3.0,0.38,,3,3.0,,,,,,,0.375,0.0475,,0.375,0.375,,,,,,,2.0,2.0,,2,2.0,,,,,,,9.0,9.0,,9,9.0,,
Samarjeet Singh,Samarjeet Singh,,,Samarjeet Singh,Samarjeet Singh,,Samarjeet Singh,Samarjeet Singh,Samarjeet Singh,,5.0,5.0,,,5.0,5.0,,5,5.0,5.0,,All Rounder,All Rounder,,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,JAI,JAI,,,JAI,JAI,,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,41.0,64.0,,,48.0,37.0,,81,50.0,67.0,,1.0,2.0,,,6.0,1.2,,8,5.0,2.0,,0.2,0.4,,,1.2,0.24,,1.6,1.0,0.4,,3.0,3.0,,,3.0,3.0,,3,3.0,3.0,,0.0,0.0,,,0.0,0.0,,0,0.0,0.0,
,Ran Singh,Ran Singh,,Ran Singh,Ran Singh,Ran Singh,Ran Singh,Ran Singh,Ran Singh,,,14.0,14.0,,14.0,14.0,14.0,14,14.0,14.0,,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,JAI,JAI,,JAI,JAI,JAI,JAI,JAI,JAI,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,,31.0,15.0,,16.0,29.0,25.0,26,16.0,32.0,,,20.0,2.0,,21.0,1.5,8.0,41,21.0,15.0,,,1.4285714285714286,0.1428571428571428,,1.5,0.1071428571428571,0.5714285714285714,2.9285714285714284,1.5,1.0714285714285714,,,3.0,3.0,,3.0,3.0,3.0,3,3.0,3.0,,,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,
,Girish Maruti Ernak,,Girish Maruti Ernak,Girish Maruti Ernak,Girish Maruti Ernak,,Girish Maruti Ernak,Girish Maruti Ernak,,,,11.0,,11.0,11.0,11.0,,11,11.0,,,,Defender,,Defender,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,KOL,,KOL,KOL,KOL,,KOL,KOL,,,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,,,78.0,,6.0,8.0,7.0,,34,7.0,,,,1.0,,3.0,33.0,3.0,,34,33.0,,,,0.0909090909090909,,0.2727272727272727,3.0,0.2727272727272727,,3.090909090909091,3.0,,,,4.0,,4.0,4.0,4.0,,4,4.0,,,,9.0,,9.0,9.0,9.0,,9,9.0,,
D. Suresh Kumar,,,,D. Suresh Kumar,D. Suresh Kumar,,D. Suresh Kumar,D. Suresh Kumar,,,12.0,,,,12.0,12.0,,12,12.0,,,Defender,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,PAT,,,,PAT,PAT,,PAT,PAT,,,Patna Pirates,,,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,,,15.0,,,,23.0,28.0,,55,24.0,,,2.0,,,,18.0,1.5,,18,16.0,,,0.1666666666666666,,,,1.5,0.125,,1.5,1.3333333333333333,,,6.0,,,,6.0,6.0,,6,6.0,,,9.0,,,,9.0,9.0,,9,9.0,,
Mahendra Ganesh Rajput,Mahendra Ganesh Rajput,,,Mahendra Ganesh Rajput,Mahendra Ganesh Rajput,Mahendra Ganesh Rajput,Mahendra Ganesh Rajput,Mahendra Ganesh Rajput,Mahendra Ganesh Rajput,,8.0,8.0,,,8.0,8.0,8.0,8,8.0,8.0,,Raider,Raider,,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,KOL,KOL,,,KOL,KOL,KOL,KOL,KOL,KOL,,Bengal Warriors,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,16.0,33.0,,,45.0,51.0,17.0,45,51.0,29.0,,2.0,19.0,,,7.0,0.88,11.0,26,5.0,17.0,,0.25,2.375,,,0.875,0.11,1.375,3.25,0.625,2.125,,4.0,4.0,,,4.0,4.0,4.0,4,4.0,4.0,,8.0,8.0,,,8.0,8.0,8.0,8,8.0,8.0,
Bajirao Hodage,,,Bajirao Hodage,Bajirao Hodage,Bajirao Hodage,,Bajirao Hodage,Bajirao Hodage,,,16.0,,,16.0,16.0,16.0,,16,16.0,,,Defender,,,Defender,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,KOL,,,KOL,KOL,KOL,,KOL,KOL,,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,,33.0,,,17.0,6.0,13.0,,28,6.0,,,1.0,,,1.0,37.0,2.31,,37,36.0,,,0.0625,,,0.0625,2.3125,0.144375,,2.3125,2.25,,,4.0,,,4.0,4.0,4.0,,4,4.0,,,9.0,,,9.0,9.0,9.0,,9,9.0,,
Sachin Shingade,,,,Sachin Shingade,Sachin Shingade,,Sachin Shingade,Sachin Shingade,,,2.0,,,,2.0,2.0,,2,2.0,,,Defender,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,PUN,,,,PUN,PUN,,PUN,PUN,,,Puneri Paltan,,,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,,34.0,,,,49.0,8.0,,84,52.0,,,1.0,,,,6.0,3.0,,6,5.0,,,0.5,,,,3.0,1.5,,3.0,2.5,,,7.0,,,,7.0,7.0,,7,7.0,,,9.0,,,,9.0,9.0,,9,9.0,,
