season,team_id,team_name,team-average-raid-points_match_played,team-avg-points-scored_match_played,team-all-outs-conceded_match_played,team-successful-tackle-percent_match_played,team-super-raid_match_played,team-raid_match_played,team-successful-raid-percent_match_played,team-dod-raid-points_match_played,team-super-tackles_match_played,team-raid-points_match_played,team-successful-raids_match_played,team-total-points-conceded_match_played,team-tackle-points_match_played,team-total-points_match_played,team-successful-tackles-per-match_match_played,team-all-outs-inflicted_match_played,team-average-tackle-points_match_played,team-successful-tackles_match_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-average-raid-points_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-tackle-points_value,team-successful-tackles_value,team-average-raid-points_points_per_match,team-avg-points-scored_points_per_match,team-all-outs-conceded_points_per_match,team-successful-tackle-percent_points_per_match,team-super-raid_points_per_match,team-raid_points_per_match,team-successful-raid-percent_points_per_match,team-dod-raid-points_points_per_match,team-super-tackles_points_per_match,team-raid-points_points_per_match,team-successful-raids_points_per_match,team-total-points-conceded_points_per_match,team-tackle-points_points_per_match,team-total-points_points_per_match,team-successful-tackles-per-match_points_per_match,team-all-outs-inflicted_points_per_match,team-average-tackle-points_points_per_match,team-successful-tackles_points_per_match,team_name,team_name
1,5,U Mumba,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,2,3,4,,1,,,4,5,1,1,3,3,2,,3,3,3,21.69,34.38,38,,12,,,39,12,347,282,499,157,550,,42,9.81,145,1.355625,2.14875,2.375,,0.75,,,2.4375,0.75,21.6875,17.625,31.1875,9.8125,34.375,,2.625,0.613125,9.0625,U Mumba,U Mumba
1,6,Patna Pirates,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,6,5,5,,2,,,3,1,4,4,4,4,3,,6,5,4,19.75,31.5,34,,12,,,42,18,316,257,487,142,504,,36,8.88,124,1.234375,1.96875,2.125,,0.75,,,2.625,1.125,19.75,16.0625,30.4375,8.875,31.5,,2.25,0.555,7.75,Patna Pirates,Patna Pirates
1,7,Puneri Paltan,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,7,8,1,,3,,,2,3,8,8,1,7,8,,7,7,8,19.21,28.93,52,,11,,,48,14,269,206,536,107,405,,24,7.64,93,1.372142857,2.066428571,3.714285714,,0.785714286,,,3.428571429,1,19.21428571,14.71428571,38.28571429,7.642857143,28.92857143,,1.714285714,0.545714286,6.642857143,Puneri Paltan,Puneri Paltan
1,8,Telugu Titans,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,1,2,8,,6,,,7,8,3,2,6,8,5,,2,8,7,24,35.5,28,,8,,,32,8,336,281,474,104,497,,50,7.43,96,1.714285714,2.535714286,2,,0.571428571,,,2.285714286,0.571428571,24,20.07142857,33.85714286,7.428571429,35.5,,3.571428571,0.530714286,6.857142857,Telugu Titans,Telugu Titans
6,1,Bengaluru Bulls,24,24,24,,24,,,24,24,24,24,24,24,24,,24,24,24,1,2,9,,1,,,7,12,1,1,7,5,1,,2,7,4,22.79,36.96,24,,19,,,73,11,547,431,766,230,887,,37,9.58,219,0.949583333,1.54,1,,0.791666667,,,3.041666667,0.458333333,22.79166667,17.95833333,31.91666667,9.583333333,36.95833333,,1.541666667,0.399166667,9.125,Bengaluru Bulls,Bengaluru Bulls
6,2,Dabang Delhi K.C.,24,24,24,,24,,,24,24,24,24,24,24,24,,24,24,24,4,5,6,,10,,,8,5,3,3,3,8,4,,4,9,7,20.13,34.25,28,,9,,,73,18,483,401,824,216,822,,34,9,198,0.83875,1.427083333,1.166666667,,0.375,,,3.041666667,0.75,20.125,16.70833333,34.33333333,9,34.25,,1.416666667,0.375,8.25,Dabang Delhi K.C.,Dabang Delhi K.C.
6,3,Jaipur Pink Panthers,22,22,22,,22,,,22,22,22,22,22,22,22,,22,22,22,9,8,2,,4,,,5,4,10,10,5,6,9,,8,5,5,18.86,32.32,32,,13,,,75,23,415,334,780,225,711,,22,10.23,202,0.857272727,1.469090909,1.454545455,,0.590909091,,,3.409090909,1.045454545,18.86363636,15.18181818,35.45454545,10.22727273,32.31818182,,1,0.465,9.181818182,Jaipur Pink Panthers,Jaipur Pink Panthers
6,4,Bengal Warriors,23,23,23,,23,,,23,23,23,23,23,23,23,,23,23,23,8,9,10,,2,,,4,10,8,9,9,10,7,,7,11,9,18.96,31.52,23,,15,,,85,14,436,340,734,200,725,,23,8.7,186,0.824347826,1.370434783,1,,0.652173913,,,3.695652174,0.608695652,18.95652174,14.7826087,31.91304348,8.695652174,31.52173913,,1,0.37826087,8.086956522,Bengal Warriors,Bengal Warriors
6,5,U Mumba,23,23,23,,23,,,23,23,23,23,23,23,23,,23,23,23,5,1,12,,3,,,1,8,5,5,12,1,3,,1,1,1,19.96,37.22,16,,14,,,89,15,459,372,672,289,856,,41,12.57,274,0.867826087,1.61826087,0.695652174,,0.608695652,,,3.869565217,0.652173913,19.95652174,16.17391304,29.2173913,12.56521739,37.2173913,,1.782608696,0.546521739,11.91304348,U Mumba,U Mumba
6,6,Patna Pirates,22,22,22,,22,,,22,22,22,22,22,22,22,,22,22,22,2,3,3,,6,,,11,9,2,2,2,9,6,,5,8,10,22.55,36.32,30,,11,,,54,15,496,406,835,201,799,,30,9.14,186,1.025,1.650909091,1.363636364,,0.5,,,2.454545455,0.681818182,22.54545455,18.45454545,37.95454545,9.136363636,36.31818182,,1.363636364,0.415454545,8.454545455,Patna Pirates,Patna Pirates
6,7,Puneri Paltan,22,22,22,,22,,,22,22,22,22,22,22,22,,22,22,22,12,11,5,,12,,,9,2,12,12,11,7,11,,12,6,8,15.73,29.5,29,,6,,,72,30,346,286,694,219,649,,14,9.95,189,0.715,1.340909091,1.318181818,,0.272727273,,,3.272727273,1.363636364,15.72727273,13,31.54545455,9.954545455,29.5,,0.636363636,0.452272727,8.590909091,Puneri Paltan,Puneri Paltan
6,8,Telugu Titans,22,22,22,,22,,,22,22,22,22,22,22,22,,22,22,22,11,12,8,,9,,,3,1,11,11,10,4,12,,10,4,6,16.05,29.41,25,,9,,,85,31,353,289,702,233,647,,18,10.59,202,0.729545455,1.336818182,1.136363636,,0.409090909,,,3.863636364,1.409090909,16.04545455,13.13636364,31.90909091,10.59090909,29.40909091,,0.818181818,0.481363636,9.181818182,Telugu Titans,Telugu Titans
6,28,Haryana Steelers,22,22,22,,22,,,22,22,22,22,22,22,22,,22,22,22,3,6,1,,5,,,12,11,7,6,4,11,8,,11,10,11,20.32,32.5,33,,12,,,44,13,447,361,806,193,715,,16,8.77,180,0.923636364,1.477272727,1.5,,0.545454545,,,2,0.590909091,20.31818182,16.40909091,36.63636364,8.772727273,32.5,,0.727272727,0.398636364,8.181818182,Haryana Steelers,Haryana Steelers
6,29,Tamil Thalaivas,22,22,22,,22,,,22,22,22,22,22,22,22,,22,22,22,7,10,7,,11,,,10,7,9,8,8,12,10,,9,12,12,19.05,30.5,27,,7,,,67,15,419,345,741,189,671,,20,8.59,173,0.865909091,1.386363636,1.227272727,,0.318181818,,,3.045454545,0.681818182,19.04545455,15.68181818,33.68181818,8.590909091,30.5,,0.909090909,0.390454545,7.863636364,Tamil Thalaivas,Tamil Thalaivas
6,30,U.P. Yoddha,25,25,25,,25,,,25,25,25,25,25,25,25,,25,25,25,10,7,4,,7,,,2,3,6,7,1,3,5,,6,3,3,17.96,32.48,30,,10,,,86,25,449,357,847,265,812,,26,10.6,240,0.7184,1.2992,1.2,,0.4,,,3.44,1,17.96,14.28,33.88,10.6,32.48,,1.04,0.424,9.6,U.P. Yoddha,U.P. Yoddha
6,31,Gujarat Giants,25,25,25,,25,,,25,25,25,25,25,25,25,,25,25,25,6,4,11,,8,,,6,6,4,4,6,2,2,,3,2,2,19.2,35.04,20,,10,,,74,16,480,392,769,274,876,,36,10.96,258,0.768,1.4016,0.8,,0.4,,,2.96,0.64,19.2,15.68,30.76,10.96,35.04,,1.44,0.4384,10.32,Gujarat Giants,Gujarat Giants
7,1,Bengaluru Bulls,24,24,24,,24,,,24,24,24,24,24,24,24,,24,24,24,1,3,3,,4,,,11,4,1,3,1,5,3,,7,9,8,22.21,36.17,33,,13,,,54,26,533,412,855,232,868,,30,9.67,206,0.925416667,1.507083333,1.375,,0.541666667,,,2.25,1.083333333,22.20833333,17.16666667,35.625,9.666666667,36.16666667,,1.25,0.402916667,8.583333333,Bengaluru Bulls,Bengaluru Bulls
7,2,Dabang Delhi K.C.,24,24,24,,24,,,24,24,24,24,24,24,24,,24,24,24,2,1,9,,8,,,9,12,2,1,2,11,1,,2,11,5,22.17,37.08,26,,8,,,58,8,532,431,823,222,890,,40,9.25,214,0.92375,1.545,1.083333333,,0.333333333,,,2.416666667,0.333333333,22.16666667,17.95833333,34.29166667,9.25,37.08333333,,1.666666667,0.385416667,8.916666667,Dabang Delhi K.C.,Dabang Delhi K.C.
7,3,Jaipur Pink Panthers,22,22,22,,22,,,22,22,22,22,22,22,22,,22,22,22,10,10,10,,5,,,1,1,10,12,11,3,10,,10,3,7,17.5,31.82,25,,11,,,80,31,385,295,713,240,700,,20,10.91,209,0.795454545,1.446363636,1.136363636,,0.5,,,3.636363636,1.409090909,17.5,13.40909091,32.40909091,10.90909091,31.81818182,,0.909090909,0.495909091,9.5,Jaipur Pink Panthers,Jaipur Pink Panthers
7,4,Bengal Warriors,24,24,24,,24,,,24,24,24,24,24,24,24,,24,24,24,3,2,12,,1,,,8,11,3,2,6,6,2,,1,10,3,21.38,36.17,23,,15,,,62,12,513,414,790,229,868,,41,9.54,217,0.890833333,1.507083333,0.958333333,,0.625,,,2.583333333,0.5,21.375,17.25,32.91666667,9.541666667,36.16666667,,1.708333333,0.3975,9.041666667,Bengal Warriors,Bengal Warriors
7,5,U Mumba,24,24,24,,24,,,24,24,24,24,24,24,24,,24,24,24,8,9,7,,7,,,3,8,6,7,10,4,5,,5,8,4,18.25,32.71,27,,9,,,79,17,438,350,732,233,785,,33,9.71,216,0.760416667,1.362916667,1.125,,0.375,,,3.291666667,0.708333333,18.25,14.58333333,30.5,9.708333333,32.70833333,,1.375,0.404583333,9,U Mumba,U Mumba
7,6,Patna Pirates,22,22,22,,22,,,22,22,22,22,22,22,22,,22,22,22,5,4,8,,3,,,4,2,5,6,9,7,6,,3,4,11,20.32,35.18,26,,14,,,78,29,447,354,745,225,774,,34,10.23,196,0.923636364,1.599090909,1.181818182,,0.636363636,,,3.545454545,1.318181818,20.31818182,16.09090909,33.86363636,10.22727273,35.18181818,,1.545454545,0.465,8.909090909,Patna Pirates,Patna Pirates
7,7,Puneri Paltan,22,22,22,,22,,,22,22,22,22,22,22,22,,22,22,22,7,6,1,,9,,,6,3,8,8,3,1,8,,9,1,2,18.59,33.82,37,,8,,,64,29,409,329,816,264,744,,22,12,235,0.845,1.537272727,1.681818182,,0.363636364,,,2.909090909,1.318181818,18.59090909,14.95454545,37.09090909,12,33.81818182,,1,0.545454545,10.68181818,Puneri Paltan,Puneri Paltan
7,8,Telugu Titans,22,22,22,,22,,,22,22,22,22,22,22,22,,22,22,22,6,8,2,,6,,,12,5,7,5,5,10,9,,11,6,10,19.82,32.95,33,,11,,,49,24,436,355,792,224,725,,18,10.18,200,0.900909091,1.497727273,1.5,,0.5,,,2.227272727,1.090909091,19.81818182,16.13636364,36,10.18181818,32.95454545,,0.818181818,0.462727273,9.090909091,Telugu Titans,Telugu Titans
7,28,Haryana Steelers,23,23,23,,23,,,23,23,23,23,23,23,23,,23,23,23,4,5,6,,2,,,5,9,4,4,4,8,4,,4,7,6,21.3,35.17,28,,15,,,76,15,490,377,802,225,809,,33,9.78,210,0.926086957,1.529130435,1.217391304,,0.652173913,,,3.304347826,0.652173913,21.30434783,16.39130435,34.86956522,9.782608696,35.17391304,,1.434782609,0.425217391,9.130434783,Haryana Steelers,Haryana Steelers
7,29,Tamil Thalaivas,22,22,22,,22,,,22,22,22,22,22,22,22,,22,22,22,11,12,4,,12,,,10,10,11,10,8,12,12,,12,12,12,17.18,29.18,31,,4,,,58,15,378,308,761,192,642,,15,8.73,177,0.780909091,1.326363636,1.409090909,,0.181818182,,,2.636363636,0.681818182,17.18181818,14,34.59090909,8.727272727,29.18181818,,0.681818182,0.396818182,8.045454545,Tamil Thalaivas,Tamil Thalaivas
7,30,U.P. Yoddha,23,23,23,,23,,,23,23,23,23,23,23,23,,23,23,23,9,7,5,,11,,,2,6,9,9,7,2,7,,6,2,1,17.74,33.48,29,,6,,,80,19,408,328,764,260,770,,32,11.3,241,0.771304348,1.455652174,1.260869565,,0.260869565,,,3.47826087,0.826086957,17.73913043,14.26086957,33.2173913,11.30434783,33.47826087,,1.391304348,0.491304348,10.47826087,U.P. Yoddha,U.P. Yoddha
7,31,Gujarat Giants,22,22,22,,22,,,22,22,22,22,22,22,22,,22,22,22,12,11,11,,10,,,7,7,12,11,12,9,11,,8,5,9,16.91,31.18,25,,7,,,63,19,372,305,668,224,686,,25,10.18,205,0.768636364,1.417272727,1.136363636,,0.318181818,,,2.863636364,0.863636364,16.90909091,13.86363636,30.36363636,10.18181818,31.18181818,,1.136363636,0.462727273,9.318181818,Gujarat Giants,Gujarat Giants
9,1,Bengaluru Bulls,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,3,3,3,5,2,2,3,9,7,1,1,2,3,2,4,2,5,4,22.92,39.42,36,38.88,20,1028,42.8,60,18,550,440,895,254,946,9.83,45,10.58,236,0.955,1.6425,1.5,1.62,0.833333333,42.83333333,1.783333333,2.5,0.75,22.91666667,18.33333333,37.29166667,10.58333333,39.41666667,0.409583333,1.875,0.440833333,9.833333333,Bengaluru Bulls,Bengaluru Bulls
9,2,Dabang Delhi K.C.,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2,2,2,10,5,6,2,10,5,3,2,1,6,3,6,6,4,5,23.57,39.61,41,33.84,13,974,44.56,59,22,542,434,926,245,911,9.7,34,10.65,223,1.024782609,1.722173913,1.782608696,1.471304348,0.565217391,42.34782609,1.937391304,2.565217391,0.956521739,23.56521739,18.86956522,40.26086957,10.65217391,39.60869565,0.42173913,1.47826087,0.463043478,9.695652174,Dabang Delhi K.C.,Dabang Delhi K.C.
9,3,Jaipur Pink Panthers,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,6,1,12,1,8,3,4,6,9,4,3,10,1,1,1,1,1,1,21.63,39.83,18,46.36,11,1018,42.44,70,16,519,432,758,290,956,11.42,48,12.08,274,0.90125,1.659583333,0.75,1.931666667,0.458333333,42.41666667,1.768333333,2.916666667,0.666666667,21.625,18,31.58333333,12.08333333,39.83333333,0.475833333,2,0.503333333,11.41666667,Jaipur Pink Panthers,Jaipur Pink Panthers
9,4,Bengal Warriors,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,4,6,6,7,1,11,5,8,11,7,8,6,9,8,8,7,10,8,22.23,36.55,32,37.36,22,924,40.91,60,10,489,378,816,214,804,9.27,30,9.73,204,1.010454545,1.661363636,1.454545455,1.698181818,1,42,1.859545455,2.727272727,0.454545455,22.22727273,17.18181818,37.09090909,9.727272727,36.54545455,0.421363636,1.363636364,0.442272727,9.272727273,Bengal Warriors,Bengal Warriors
9,5,U Mumba,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,11,11,10,2,7,12,11,4,2,11,12,12,5,11,5,11,3,6,17.45,32.5,27,42.94,12,922,31.89,75,30,384,294,743,246,715,9.82,23,11.18,216,0.793181818,1.477272727,1.227272727,1.951818182,0.545454545,41.90909091,1.449545455,3.409090909,1.363636364,17.45454545,13.36363636,33.77272727,11.18181818,32.5,0.446363636,1.045454545,0.508181818,9.818181818,U Mumba,U Mumba
9,6,Patna Pirates,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,10,4,9,11,7,10,1,6,10,10,9,10,10,9,9,9,10,19,32.86,34,36.5,9,953,35.99,107,18,418,343,781,214,723,8.91,28,9.73,196,0.863636364,1.493636364,1.545454545,1.659090909,0.409090909,43.31818182,1.635909091,4.863636364,0.818181818,19,15.59090909,35.5,9.727272727,32.86363636,0.405,1.272727273,0.442272727,8.909090909,Patna Pirates,Patna Pirates
9,7,Puneri Paltan,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,7,7,11,3,10,4,6,3,10,5,5,8,4,4,3,3,6,3,21.13,36.33,26,40.61,11,1006,40.85,80,14,507,411,808,252,872,9.92,38,10.5,238,0.880416667,1.51375,1.083333333,1.692083333,0.458333333,41.91666667,1.702083333,3.333333333,0.583333333,21.125,17.125,33.66666667,10.5,36.33333333,0.413333333,1.583333333,0.4375,9.916666667,Puneri Paltan,Puneri Paltan
9,8,Telugu Titans,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,1,12,12,8,12,11,1,12,11,3,11,12,12,12,11,12,17.09,28.77,48,30,6,939,31.63,57,37,376,297,878,202,633,7.5,11,9.18,165,0.776818182,1.307727273,2.181818182,1.363636364,0.272727273,42.68181818,1.437727273,2.590909091,1.681818182,17.09090909,13.5,39.90909091,9.181818182,28.77272727,0.340909091,0.5,0.417272727,7.5,Telugu Titans,Telugu Titans
9,28,Haryana Steelers,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,8,9,9,4,6,10,8,12,8,9,9,11,8,9,7,10,7,7,20.82,35,29,39.06,13,928,38.69,50,17,458,359,754,224,770,9.41,25,10.18,207,0.946363636,1.590909091,1.318181818,1.775454545,0.590909091,42.18181818,1.758636364,2.272727273,0.772727273,20.81818182,16.31818182,34.27272727,10.18181818,35,0.427727273,1.136363636,0.462727273,9.409090909,Haryana Steelers,Haryana Steelers
9,29,Tamil Thalaivas,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,9,8,5,6,9,1,9,2,3,8,7,4,2,6,2,8,2,2,20.29,35.54,33,37.44,11,1041,36.7,98,28,487,382,850,271,853,10.13,30,11.29,243,0.845416667,1.480833333,1.375,1.56,0.458333333,43.375,1.529166667,4.083333333,1.166666667,20.29166667,15.91666667,35.41666667,11.29166667,35.54166667,0.422083333,1.25,0.470416667,10.125,Tamil Thalaivas,Tamil Thalaivas
9,30,U.P. Yoddhas,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,5,5,8,8,3,5,7,5,4,6,6,7,7,5,10,4,8,9,21.91,37.13,29,36.79,20,974,39.43,70,22,504,384,812,224,854,8.78,37,9.74,202,0.952608696,1.614347826,1.260869565,1.599565217,0.869565217,42.34782609,1.714347826,3.043478261,0.956521739,21.91304348,16.69565217,35.30434783,9.739130435,37.13043478,0.38173913,1.608695652,0.423478261,8.782608696,U.P. Yoddhas,U.P. Yoddhas
9,31,Gujarat Giants,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,4,7,11,4,9,1,7,12,2,4,5,12,7,11,5,12,11,24.95,37.86,30,32.66,16,935,44.92,63,3,549,420,849,180,833,8.05,34,8.18,177,1.134090909,1.720909091,1.363636364,1.484545455,0.727272727,42.5,2.041818182,2.863636364,0.136363636,24.95454545,19.09090909,38.59090909,8.181818182,37.86363636,0.365909091,1.545454545,0.371818182,8.045454545,Gujarat Giants,Gujarat Giants
10,1,Bengaluru Bulls,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,11,12,6,3,2,11,11,8,9,12,12,7,7,12,4,9,5,6,18.45,33.36,31,43.74,16,956,32.53,72,19,406,311,801,246,734,10.32,25,11.18,227,0.838636364,1.516363636,1.409090909,1.988181818,0.727272727,43.45454545,1.478636364,3.272727273,0.863636364,18.45454545,14.13636364,36.40909091,11.18181818,33.36363636,0.469090909,1.136363636,0.508181818,10.31818182,Bengaluru Bulls,Bengaluru Bulls
10,2,Dabang Delhi K.C.,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,4,8,7,7,4,7,2,5,11,5,3,9,8,6,8,3,9,8,20.61,36.04,28,39.12,13,975,40,74,18,474,390,778,239,829,9.61,34,10.39,221,0.896086957,1.566956522,1.217391304,1.700869565,0.565217391,42.39130435,1.739130435,3.217391304,0.782608696,20.60869565,16.95652174,33.82608696,10.39130435,36.04347826,0.417826087,1.47826087,0.45173913,9.608695652,Dabang Delhi K.C.,Dabang Delhi K.C.
10,3,Jaipur Pink Panthers,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,5,5,11,6,5,5,6,3,3,6,6,11,5,4,6,2,4,5,20.17,36.65,20,41.64,13,984,37.5,84,31,464,369,706,260,843,9.96,35,11.3,229,0.876956522,1.593478261,0.869565217,1.810434783,0.565217391,42.7826087,1.630434783,3.652173913,1.347826087,20.17391304,16.04347826,30.69565217,11.30434783,36.65217391,0.433043478,1.52173913,0.491304348,9.956521739,Jaipur Pink Panthers,Jaipur Pink Panthers
10,4,Bengal Warriors,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,3,2,12,6,12,1,12,12,1,4,4,12,7,12,8,12,12,22.91,37.27,39,33.86,12,949,40.67,53,12,504,386,863,204,820,8.73,31,9.27,192,1.041363636,1.694090909,1.772727273,1.539090909,0.545454545,43.13636364,1.848636364,2.409090909,0.545454545,22.90909091,17.54545455,39.22727273,9.272727273,37.27272727,0.396818182,1.409090909,0.421363636,8.727272727,Bengal Warriors,Bengal Warriors
10,5,U Mumba,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2,7,5,10,9,10,3,10,4,4,7,3,10,8,11,10,10,11,22.09,36.18,34,35.16,10,956,38.39,61,28,486,367,875,227,796,9.05,23,10.32,199,1.004090909,1.644545455,1.545454545,1.598181818,0.454545455,43.45454545,1.745,2.772727273,1.272727273,22.09090909,16.68181818,39.77272727,10.31818182,36.18181818,0.411363636,1.045454545,0.469090909,9.045454545,U Mumba,U Mumba
10,6,Patna Pirates,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,3,6,8,8,10,2,4,2,6,2,1,6,4,3,5,4,6,4,20.63,36.42,27,38.66,10,1043,38.35,91,24,495,400,838,266,874,10.08,34,11.08,242,0.859583333,1.5175,1.125,1.610833333,0.416666667,43.45833333,1.597916667,3.791666667,1,20.625,16.66666667,34.91666667,11.08333333,36.41666667,0.42,1.416666667,0.461666667,10.08333333,Patna Pirates,Patna Pirates
10,7,Puneri Paltan,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,9,1,12,1,11,3,5,1,10,7,2,12,1,1,1,1,1,1,19.33,39.58,14,54.71,10,1022,38.26,102,18,464,391,678,349,950,13.79,46,14.54,331,0.805416667,1.649166667,0.583333333,2.279583333,0.416666667,42.58333333,1.594166667,4.25,0.75,19.33333333,16.29166667,28.25,14.54166667,39.58333333,0.574583333,1.916666667,0.605833333,13.79166667,Puneri Paltan,Puneri Paltan
10,8,Telugu Titans,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,11,1,11,7,4,12,9,7,11,11,1,9,11,9,12,8,9,18.77,33.45,53,34.72,12,1002,31.14,64,23,413,312,979,232,736,9.5,19,10.55,209,0.853181818,1.520454545,2.409090909,1.578181818,0.545454545,45.54545455,1.415454545,2.909090909,1.045454545,18.77272727,14.18181818,44.5,10.54545455,33.45454545,0.431818182,0.863636364,0.479545455,9.5,Telugu Titans,Telugu Titans
10,28,Haryana Steelers,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,8,4,4,4,3,1,8,6,1,3,5,2,2,2,3,7,3,2,19.68,36.8,35,43.66,16,1088,34.74,73,33,492,378,915,329,920,11.84,31,13.16,296,0.7872,1.472,1.4,1.7464,0.64,43.52,1.3896,2.92,1.32,19.68,15.12,36.6,13.16,36.8,0.4736,1.24,0.5264,11.84,Haryana Steelers,Haryana Steelers
10,29,Tamil Thalaivas,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,6,2,9,2,12,8,7,7,2,8,8,8,3,5,2,5,2,3,20.14,37.82,24,43.93,8,974,37.47,73,31,443,365,800,295,832,12,34,13.41,264,0.915454545,1.719090909,1.090909091,1.996818182,0.363636364,44.27272727,1.703181818,3.318181818,1.409090909,20.13636364,16.59090909,36.36363636,13.40909091,37.81818182,0.545454545,1.545454545,0.609545455,12,Tamil Thalaivas,Tamil Thalaivas
10,30,U.P. Yoddhas,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,7,10,3,9,8,6,9,11,5,9,9,5,11,10,10,11,11,10,19.73,33.77,39,36.83,10,981,34.45,60,24,434,338,859,224,743,9.09,23,10.18,200,0.896818182,1.535,1.772727273,1.674090909,0.454545455,44.59090909,1.565909091,2.727272727,1.090909091,19.72727273,15.36363636,39.04545455,10.18181818,33.77272727,0.413181818,1.045454545,0.462727273,9.090909091,U.P. Yoddhas,U.P. Yoddhas
10,31,Gujarat Giants,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,12,9,10,5,1,9,10,4,8,10,10,10,6,9,7,6,7,7,18.35,34.13,23,41.77,18,974,34.09,83,23,422,332,770,249,785,9.83,32,10.83,226,0.797826087,1.483913043,1,1.816086957,0.782608696,42.34782609,1.482173913,3.608695652,1,18.34782609,14.43478261,33.47826087,10.82608696,34.13043478,0.427391304,1.391304348,0.470869565,9.826086957,Gujarat Giants,Gujarat Giants
all,1,Bengaluru Bulls,200,200,200,,200,,,200,200,200,200,200,200,200,,200,200,200,5,4,3,,3,,,7,6,2,2,4,4,2,,2,9,4,19.58,33.77,252,,115,,,639,154,3916,3109,6647,1978,6755,,265,9.89,1822,0.0979,0.16885,1.26,,0.575,,,3.195,0.77,19.58,15.545,33.235,9.89,33.775,,1.325,0.04945,9.11,Bengaluru Bulls,Bengaluru Bulls
all,2,Dabang Delhi K.C.,196,196,196,,196,,,196,196,196,196,196,196,196,,196,196,196,4,7,2,,7,,,6,7,3,3,3,7,5,,6,11,7,19.6,33.2,273,,94,,,643,142,3841,3099,6756,1810,6508,,240,9.23,1664,0.1,0.169387755,1.392857143,,0.479591837,,,3.280612245,0.724489796,19.59693878,15.81122449,34.46938776,9.234693878,33.20408163,,1.224489796,0.047091837,8.489795918,Dabang Delhi K.C.,Dabang Delhi K.C.
all,3,Jaipur Pink Panthers,195,195,195,,195,,,195,195,195,195,195,195,195,,195,195,195,11,8,8,,4,,,3,4,6,5,8,5,6,,5,7,5,18.59,33.11,211,,98,,,710,182,3626,2917,6156,1961,6457,,247,10.06,1776,0.095333333,0.169794872,1.082051282,,0.502564103,,,3.641025641,0.933333333,18.59487179,14.95897436,31.56923077,10.05641026,33.11282051,,1.266666667,0.051589744,9.107692308,Jaipur Pink Panthers,Jaipur Pink Panthers
all,4,Bengal Warriors,195,195,195,,195,,,195,195,195,195,195,195,195,,195,195,195,6,11,4,,1,,,5,9,4,4,5,8,7,,7,12,8,19.45,32.58,246,,120,,,643,129,3793,2986,6565,1752,6354,,228,8.98,1622,0.09974359,0.167076923,1.261538462,,0.615384615,,,3.297435897,0.661538462,19.45128205,15.31282051,33.66666667,8.984615385,32.58461538,,1.169230769,0.046051282,8.317948718,Bengal Warriors,Bengal Warriors
